2026-04-12 13:56:32 | strat_006 | HEARTBEAT | now=13:56:32 | remaining=5097s | lots=10 | instrument=NIFTY
2026-04-12 14:01:32 | strat_006 | HEARTBEAT | now=14:01:32 | remaining=4797s | lots=10 | instrument=NIFTY
2026-04-12 14:06:32 | strat_006 | HEARTBEAT | now=14:06:32 | remaining=4497s | lots=10 | instrument=NIFTY
2026-04-12 14:11:32 | strat_006 | HEARTBEAT | now=14:11:32 | remaining=4197s | lots=10 | instrument=NIFTY
2026-04-12 14:16:32 | strat_006 | HEARTBEAT | now=14:16:32 | remaining=3897s | lots=10 | instrument=NIFTY
2026-04-12 14:21:32 | strat_006 | HEARTBEAT | now=14:21:32 | remaining=3597s | lots=10 | instrument=NIFTY
2026-04-12 14:26:32 | strat_006 | HEARTBEAT | now=14:26:32 | remaining=3297s | lots=10 | instrument=NIFTY
2026-04-12 14:31:33 | strat_006 | HEARTBEAT | now=14:31:33 | remaining=2996s | lots=10 | instrument=NIFTY
2026-04-12 14:36:33 | strat_006 | HEARTBEAT | now=14:36:33 | remaining=2696s | lots=10 | instrument=NIFTY
2026-04-12 14:41:33 | strat_006 | HEARTBEAT | now=14:41:33 | remaining=2396s | lots=10 | instrument=NIFTY
2026-04-12 14:46:33 | strat_006 | HEARTBEAT | now=14:46:33 | remaining=2096s | lots=10 | instrument=NIFTY
2026-04-12 14:51:33 | strat_006 | HEARTBEAT | now=14:51:33 | remaining=1796s | lots=10 | instrument=NIFTY
2026-04-12 14:56:33 | strat_006 | HEARTBEAT | now=14:56:33 | remaining=1496s | lots=10 | instrument=NIFTY
2026-04-12 15:01:33 | strat_006 | HEARTBEAT | now=15:01:33 | remaining=1196s | lots=10 | instrument=NIFTY
2026-04-12 15:06:33 | strat_006 | HEARTBEAT | now=15:06:33 | remaining=896s | lots=10 | instrument=NIFTY
2026-04-12 15:11:33 | strat_006 | HEARTBEAT | now=15:11:33 | remaining=596s | lots=10 | instrument=NIFTY
2026-04-12 15:16:33 | strat_006 | HEARTBEAT | now=15:16:33 | remaining=296s | lots=10 | instrument=NIFTY
2026-04-12 15:21:30 | strat_006 | EXIT_TIME reached (15:21:30) — shutting down
2026-04-12 15:21:30 | strat_006 | STOPPED
